Task_ID,Task_Name,Priority,Deadline,Estimated_Time,Task_Type,Dependency,Employee_ID,Completion_Status,Urgency_Score
47,Task 47: Sample Task Description,Low,2025-01-30 07:00,3 hours,Meeting,Task_ID 46,147,Completed,8
48,Task 48: Sample Task Description,High,2025-01-30 08:00,4 hours,Planning,Task_ID 47,148,Pending,9
49,Task 49: Sample Task Description,Medium,2025-01-30 09:00,5 hours,Analysis,Task_ID 48,149,In Progress,10
50,Task 50: Sample Task Description,Low,2025-01-30 10:00,1 hours,Review,Task_ID 49,150,Completed,1
51,Task 51: Sample Task Description,High,2025-01-30 11:00,2 hours,Meeting,Task_ID 50,151,Pending,2
52,Task 52: Sample Task Description,Medium,2025-01-30 12:00,3 hours,Planning,Task_ID 51,152,In Progress,3
53,Task 53: Sample Task Description,Low,2025-01-30 13:00,4 hours,Analysis,Task_ID 52,153,Completed,4
54,Task 54: Sample Task Description,High,2025-01-30 14:00,5 hours,Review,Task_ID 53,154,Pending,5
55,Task 55: Sample Task Description,Medium,2025-01-30 15:00,1 hours,Meeting,Task_ID 54,155,In Progress,6
56,Task 56: Sample Task Description,Low,2025-01-30 16:00,2 hours,Planning,Task_ID 55,156,Completed,7
57,Task 57: Sample Task Description,High,2025-01-30 17:00,3 hours,Analysis,Task_ID 56,157,Pending,8
58,Task 58: Sample Task Description,Medium,2025-01-30 18:00,4 hours,Review,Task_ID 57,158,In Progress,9
59,Task 59: Sample Task Description,Low,2025-01-30 19:00,5 hours,Meeting,Task_ID 58,159,Completed,10
60,Task 60: Sample Task Description,High,2025-01-30 20:00,1 hours,Planning,Task_ID 59,160,Pending,1
61,Task 61: Sample Task Description,Medium,2025-01-30 21:00,2 hours,Analysis,Task_ID 60,161,In Progress,2
62,Task 62: Sample Task Description,Low,2025-01-30 22:00,3 hours,Review,Task_ID 61,162,Completed,3
63,Task 63: Sample Task Description,High,2025-01-30 23:00,4 hours,Meeting,Task_ID 62,163,Pending,4
64,Task 64: Sample Task Description,Medium,2025-01-31 00:00,5 hours,Planning,Task_ID 63,164,In Progress,5
65,Task 65: Sample Task Description,Low,2025-01-31 01:00,1 hours,Analysis,Task_ID 64,165,Completed,6
66,Task 66: Sample Task Description,High,2025-01-31 02:00,2 hours,Review,Task_ID 65,166,Pending,7
67,Task 67: Sample Task Description,Medium,2025-01-31 03:00,3 hours,Meeting,Task_ID 66,167,In Progress,8
68,Task 68: Sample Task Description,Low,2025-01-31 04:00,4 hours,Planning,Task_ID 67,168,Completed,9
69,Task 69: Sample Task Description,High,2025-01-31 05:00,5 hours,Analysis,Task_ID 68,169,Pending,10
70,Task 70: Sample Task Description,Medium,2025-01-31 06:00,1 hours,Review,Task_ID 69,170,In Progress,1
71,Task 71: Sample Task Description,Low,2025-01-31 07:00,2 hours,Meeting,Task_ID 70,171,Completed,2
72,Task 72: Sample Task Description,High,2025-01-31 08:00,3 hours,Planning,Task_ID 71,172,Pending,3
73,Task 73: Sample Task Description,Medium,2025-01-31 09:00,4 hours,Analysis,Task_ID 72,173,In Progress,4
74,Task 74: Sample Task Description,Low,2025-01-31 10:00,5 hours,Review,Task_ID 73,174,Completed,5
75,Task 75: Sample Task Description,High,2025-01-31 11:00,1 hours,Meeting,Task_ID 74,175,Pending,6
76,Task 76: Sample Task Description,Medium,2025-01-31 12:00,2 hours,Planning,Task_ID 75,176,In Progress,7
77,Task 77: Sample Task Description,Low,2025-01-31 13:00,3 hours,Analysis,Task_ID 76,177,Completed,8
78,Task 78: Sample Task Description,High,2025-01-31 14:00,4 hours,Review,Task_ID 77,178,Pending,9
79,Task 79: Sample Task Description,Medium,2025-01-31 15:00,5 hours,Meeting,Task_ID 78,179,In Progress,10
80,Task 80: Sample Task Description,Low,2025-01-31 16:00,1 hours,Planning,Task_ID 79,180,Completed,1
81,Task 81: Sample Task Description,High,2025-01-31 17:00,2 hours,Analysis,Task_ID 80,181,Pending,2
82,Task 82: Sample Task Description,Medium,2025-01-31 18:00,3 hours,Review,Task_ID 81,182,In Progress,3
83,Task 83: Sample Task Description,Low,2025-01-31 19:00,4 hours,Meeting,Task_ID 82,183,Completed,4
84,Task 84: Sample Task Description,High,2025-01-31 20:00,5 hours,Planning,Task_ID 83,184,Pending,5
85,Task 85: Sample Task Description,Medium,2025-01-31 21:00,1 hours,Analysis,Task_ID 84,185,In Progress,6
86,Task 86: Sample Task Description,Low,2025-01-31 22:00,2 hours,Review,Task_ID 85,186,Completed,7
87,Task 87: Sample Task Description,High,2025-01-31 23:00,3 hours,Meeting,Task_ID 86,187,Pending,8
88,Task 88: Sample Task Description,Medium,2025-02-01 00:00,4 hours,Planning,Task_ID 87,188,In Progress,9
89,Task 89: Sample Task Description,Low,2025-02-01 01:00,5 hours,Analysis,Task_ID 88,189,Completed,10
90,Task 90: Sample Task Description,High,2025-02-01 02:00,1 hours,Review,Task_ID 89,190,Pending,1
91,Task 91: Sample Task Description,Medium,2025-02-01 03:00,2 hours,Meeting,Task_ID 90,191,In Progress,2
92,Task 92: Sample Task Description,Low,2025-02-01 04:00,3 hours,Planning,Task_ID 91,192,Completed,3
93,Task 93: Sample Task Description,High,2025-02-01 05:00,4 hours,Analysis,Task_ID 92,193,Pending,4
94,Task 94: Sample Task Description,Medium,2025-02-01 06:00,5 hours,Review,Task_ID 93,194,In Progress,5
95,Task 95: Sample Task Description,Low,2025-02-01 07:00,1 hours,Meeting,Task_ID 94,195,Completed,6
96,Task 96: Sample Task Description,High,2025-02-01 08:00,2 hours,Planning,Task_ID 95,196,Pending,7
97,Task 97: Sample Task Description,Medium,2025-02-01 09:00,3 hours,Analysis,Task_ID 96,197,In Progress,8
98,Task 98: Sample Task Description,Low,2025-02-01 10:00,4 hours,Review,Task_ID 97,198,Completed,9
99,Task 99: Sample Task Description,High,2025-02-01 11:00,5 hours,Meeting,Task_ID 98,199,Pending,10
100,Task 100: Sample Task Description,Medium,2025-02-01 12:00,1 hours,Planning,Task_ID 99,200,In Progress,1
